Date,Bonding_Minutes,Pet_Mood,Activity_Type,Energy_Level,Stress_Calmness,Indoor/Outdoor,Main_Bonding_Time
"January 12, 2026",40 minutes,3,Walk,4,2,Indoor,Evening
"January 13, 2026",12 minutes,3,Run + Walk,3,3,Outdoor,Morning
"January 14, 2026",10 minutes,3,Run + Walk,3,4,Outdoor,Morning
"January 15, 2026",28 minutes,2,Walk + Play,3,3,Outdoor,Evening
"January 16, 2026",39 minutes,2,Run + Walk,3,2,Outdoor,Morning
"January 17, 2026",38 minutes,2,Walk + Play,4,3,Indoor,Evening
"January 18, 2026",34 minutes,3,Quiet Cuddling,2,3,Indoor,Evening
